Abbau|NN	-0.058	Abbaus,Abbaues,Abbauen,Abbaue
ungewollt|ADJX	-0.4781	ungewolltste,ungewollten,ungewolltst,ungewolltem,ungewollterer,ungewolltstes,ungewolltster,ungewolltere,ungewollteren,ungewollterem,ungewollte,ungewolltstem,ungewolltsten,ungewollteres,ungewolltes,ungewollter
ungezogen|ADJX	-0.3124	ungezogene,ungezogener,ungezogenes,ungezogenste,ungezogenstem,ungezogensten,ungezogenst,ungezognerem,ungezogenster,ungezogneren,ungezogenstes,ungezogneres,ungezognerer,ungezognere,ungezogenen,ungezogeneren,ungezogenem,ungezogner,ungezogenere,ungezogenerem,ungezogenerer,ungezogeneres
ungeübt|ADJX	-0.0048	ungeübten,ungeübtere,ungeübteste,ungeübter,ungeübterer,ungeübtes,ungeübteres,ungeübtest,ungeübtestes,ungeübtester,ungeübte,ungeübtesten,ungeübteren,ungeübterem,ungeübtestem,ungeübtem
unglaubwürdig|ADJX	-0.2007	unglaubwürdigst,unglaubwürdigere,unglaubwürdigstem,unglaubwürdigsten,unglaubwürdigerer,unglaubwürdige,unglaubwürdigeres,unglaubwürdigeren,unglaubwürdigerem,unglaubwürdiges,unglaubwürdiger,unglaubwürdigem,unglaubwürdigen,unglaubwürdigster,unglaubwürdigste,unglaubwürdigstes
ungleich|ADJX	-0.0048	ungleicherem,ungleicheren,ungleicher,ungleiches,ungleichst,ungleichen,ungleichem,ungleichstem,ungleichsten,ungleichstes,ungleichster,ungleichste,ungleichere,ungleicherer,ungleiche,ungleicheres
unglücklich|ADJX	-0.301	unglücklichsten,unglücklichstem,unglücklichstes,unglücklichster,unglückliche,unglücklichst,unglücklicherem,unglücklicheren,unglücklicherer,unglücklichere,unglücklicheres,unglücklichste,unglückliches,unglücklicher,unglücklichen,unglücklichem
ungültig|ADJX	-0.3485	ungültiges,ungültiger,ungültigst,ungültigstes,ungültigster,ungültigere,ungültigstem,ungültigsten,ungültigeres,ungültigerer,ungültigerem,ungültigeren,ungültige,ungültigen,ungültigste,ungültigem
ungünstig|ADJX	-0.767	ungünstige,ungünstigeren,ungünstigerem,ungünstigen,ungünstigst,ungünstiger,ungünstiges,ungünstigerer,ungünstigem,ungünstigeres,ungünstigere,ungünstigste,ungünstigstem,ungünstigsten,ungünstigster,ungünstigstes
unheilbar|ADJX	-0.0048
unheilvoll|ADJX	-0.0048	unheilvolle,unheilvollere,unheilvollem,unheilvollen,unheilvollsten,unheilvollstem,unheilvoller,unheilvollster,unheilvollstes,unheilvollerem,unheilvolles,unheilvollst,unheilvollste,unheilvollerer,unheilvolleres,unheilvolleren
unhöflich|ADJX	-0.0048	unhöflichste,unhöflichstes,unhöflichen,unhöflichst,unhöflichem,unhöfliches,unhöflicher,unhöfliche,unhöflichsten,unhöflicherem,unhöflicheren,unhöflichstem,unhöflichere,unhöflichster,unhöflicheres,unhöflicherer
uninformiert|ADJX	-0.0048	uninformiertst,uninformiertes,uninformierter,uninformierterem,uninformiertem,uninformierteren,uninformierten,uninformiertstes,uninformiertster,uninformierte,uninformierterer,uninformierteres,uninformiertsten,uninformiertstem,uninformiertere,uninformiertste
unklar|ADJX	-0.5023	unklarerem,unklareren,unklarsten,unklaren,unklarstem,unklarem,unklarerer,unklareres,unklarere,unklarste,unklarstes,unklare,unklarster,unklares,unklarer,unklarst
unklug|ADJX	-0.4604	unklugere,unklugste,unkluge,unklugen,unklugem,unkluger,unklugeren,unklugerem,unkluges,unklugeres,unklugerer,unklugst,unklugstes,unklugster,unklugstem,unklugsten
unkorrekt|ADJX	-0.3247	unkorrektere,unkorrektester,unkorrektestes,unkorrekteres,unkorrektes,unkorrekter,unkorrektestem,unkorrekten,unkorrektest,unkorrektem,unkorrektesten,unkorrekterer,unkorrekte,unkorrekterem,unkorrekteren,unkorrekteste
unkritisch|ADJX	-0.1934	unkritischerer,unkritischere,unkritischeres,unkritischeren,unkritisches,unkritischst,unkritische,unkritischer,unkritischem,unkritischen,unkritischsten,unkritischstem,unkritischerem,unkritischste,unkritischstes,unkritischster
unlauter|ADJX	-0.0048	unlauterstes,unlautererer,unlauterste,unlauterster,unlautereres,unlauteres,unlautereren,unlautrere,unlautreren,unlautrer,unlautrerem,unlautere,unlauteren,unlauterstem,unlauterem,unlautrerer,unlautersten,unlauterer,unlauterere,unlautreres,unlautererem,unlauterst
unliebsam|ADJX	-0.0048	unliebsame,unliebsamstes,unliebsamster,unliebsamem,unliebsamen,unliebsames,unliebsamste,unliebsamsten,unliebsamerem,unliebsameren,unliebsamstem,unliebsamer,unliebsamerer,unliebsameres,unliebsamere,unliebsamst
unlogisch|ADJX	-0.4817	unlogischere,unlogischerem,unlogischst,unlogische,unlogischste,unlogischem,unlogischen,unlogischstes,unlogischster,unlogischer,unlogischeren,unlogischstem,unlogisches,unlogischerer,unlogischeres,unlogischsten
unmenschlich|ADJX	-0.4724	unmenschlichste,unmenschlichster,unmenschlichstes,unmenschlichst,unmenschlichstem,unmenschlichsten,unmenschlichem,unmenschlichere,unmenschlichen,unmenschlicheres,unmenschlicherer,unmenschliche,unmenschlicheren,unmenschliches,unmenschlicher,unmenschlicherem
unmoralisch|ADJX	-0.6224
unmöglich|ADJX	-0.3559	unmöglicheren,unmöglicherem,unmöglichem,unmöglichstem,unmöglichsten,unmöglichstes,unmöglichster,unmöglicher,unmöglichere,unmögliches,unmöglichst,unmöglichen,unmögliche,unmöglicheres,unmöglicherer,unmöglichste
unnötig|ADJX	-0.9463	unnötigstes,unnötigere,unnötige,unnötigeren,unnötigen,unnötigerem,unnötigem,unnötiges,unnötigste,unnötiger,unnötigst,unnötigster,unnötigeres,unnötigerer,unnötigstem,unnötigsten
unnütz|ADJX	-0.6073	unnützerer,unnützerem,unnützere,unnützeren,unnütze,unnützeres,unnützester,unnützestes,unnützer,unnützest,unnützes,unnützestem,unnützesten,unnützen,unnützem,unnützeste
unpassend|ADJX	-0.3261	unpassenderen,unpassenderem,unpassendsten,unpassendstem,unpassendere,unpassende,unpassendster,unpassendst,unpassenderes,unpassenderer,unpassender,unpassendes,unpassendem,unpassenden,unpassendste,unpassendstes
unpersönlich|ADJX	-0.0476	unpersönlichstes,unpersönlichere,unpersönlicheres,unpersönlichsten,unpersönlicher,unpersönliches,unpersönlichste,unpersönlichstem,unpersönlichst,unpersönlichem,unpersönlichster,unpersönlichen,unpersönlicherer,unpersönlicherem,unpersönlicheren,unpersönliche
unpopulär|ADJX	-0.0048	unpopulärster,unpopulärstes,unpopulärste,unpopulärsten,unpopulärstem,unpopulärere,unpopuläre,unpopuläres,unpopulärer,unpopuläreres,unpopulärem,unpopulärerer,unpopulärst,unpopulären,unpopuläreren,unpopulärerem
unpraktisch|ADJX	-0.3182
unqualifiziert|ADJX	-0.3153	unqualifiziertester,unqualifizierte,unqualifiziertem,unqualifiziertestem,unqualifiziertesten,unqualifizierten,unqualifiziertere,unqualifiziertes,unqualifizierter,unqualifizierteres,unqualifizierterer,unqualifiziertestes,unqualifizierteren,unqualifizierterem,unqualifiziertest,unqualifizierteste
unredlich|ADJX	-0.3248	unredliche,unredlicherem,unredlichste,unredlichsten,unredlicherer,unredlichere,unredlicheres,unredliches,unredlichstem,unredlicheren,unredlicher,unredlichst,unredlichster,unredlichem,unredlichstes,unredlichen
unregelmäßig|ADJX	-0.0048	unregelmäßigstes,unregelmäßigster,unregelmäßiger,unregelmäßiges,unregelmäßigste,unregelmäßigeren,unregelmäßigst,unregelmäßigerem,unregelmäßigerer,unregelmäßigeres,unregelmäßige,unregelmäßigem,unregelmäßigen,unregelmäßigere,unregelmäßigsten,unregelmäßigstem
unrentabel|ADJX	-0.0048	unrentable,unrentablerer,unrentableres,unrentabelst,unrentabelster,unrentabelste,unrentabelstes,unrentablere,unrentableren,unrentablerem,unrentables,unrentabelsten,unrentabler,unrentablen,unrentablem,unrentabelstem
unruhig|ADJX	-0.0551	unruhigstem,unruhigerer,unruhigeres,unruhiges,unruhigeren,unruhigsten,unruhigste,unruhigstes,unruhiger,unruhigster,unruhigen,unruhigem,unruhigerem,unruhige,unruhigere,unruhigst
unrühmlich|ADJX	-0.0048	unrühmlichen,unrühmlichere,unrühmlichem,unrühmlicherem,unrühmlichst,unrühmlicher,unrühmliches,unrühmlichster,unrühmlichstes,unrühmlicheren,unrühmlichstem,unrühmliche,unrühmlicherer,unrühmlicheres,unrühmlichsten,unrühmlichste
unsachgemäß|ADJX	-0.3271	unsachgemäßstes,unsachgemäßster,unsachgemäßere,unsachgemäßsten,unsachgemäßstem,unsachgemäßes,unsachgemäßerem,unsachgemäßeren,unsachgemäßer,unsachgemäßerer,unsachgemäßeres,unsachgemäßem,unsachgemäßen,unsachgemäßst,unsachgemäßste,unsachgemäße
unsauber|ADJX	-0.4713	unsauberstes,unsauberere,unsaubere,unsauberste,unsaubrerem,unsaubereren,unsauberes,unsauberer,unsaubererem,unsaubrere,unsauberen,unsauberem,unsaubreren,unsaubrer,unsaubreres,unsaubersten,unsaubrerer,unsaubereres,unsauberstem,unsaubererer,unsauberst,unsauberster
unscharf|ADJX	-0.327	unscharfere,unscharfem,unscharfen,unscharferen,unscharfstem,unscharferem,unscharfst,unscharfster,unscharfstes,unscharfsten,unscharferes,unscharferer,unscharfes,unscharfer,unscharfste,unscharfe
unschön|ADJX	-0.4486	unschöner,unschönes,unschönen,unschönst,unschöne,unschöneres,unschönere,unschönerer,unschöneren,unschönerem,unschönste,unschönsten,unschönstem,unschönstes,unschönster,unschönem
unselig|ADJX	-0.0048	unseligstes,unseligster,unseligeres,unseligsten,unseligerer,unseligstem,unseligerem,unseligeren,unseligste,unseligst,unseligem,unseligere,unselige,unseligen,unseliges,unseliger
unseriös|ADJX	-0.3373	unseriösem,unseriösesten,unseriöser,unseriösere,unseriöses,unseriösester,unseriöseste,unseriösestes,unseriösen,unseriösest,unseriöseren,unseriöserem,unseriösestem,unseriöserer,unseriöse,unseriöseres
unsicher|ADJX	-0.6268	unsicherere,unsichrere,unsichreren,unsichrerem,unsichrer,unsicheren,unsicherstem,unsichersten,unsicherem,unsicherer,unsicherster,unsicheres,unsichrerer,unsichreres,unsichererer,unsicherstes,unsichereres,unsicherst,unsicherste,unsichere,unsichereren,unsichererem
unsinnig|ADJX	-0.3516
unsittlich|ADJX	-0.0048	unsittlichster,unsittlichst,unsittlichsten,unsittlichstem,unsittliches,unsittlicher,unsittliche,unsittlichen,unsittlichem,unsittlichste,unsittlicherer,unsittlicheres,unsittlichere,unsittlicherem,unsittlicheren,unsittlichstes
unsolidarisch|ADJX	-0.0048	unsolidarischem,unsolidarischen,unsolidarischer,unsolidarischster,unsolidarischstes,unsolidarischerem,unsolidarischeren,unsolidarischerer,unsolidarischste,unsolidarischeres,unsolidarischere,unsolidarischst,unsolidarische,unsolidarisches,unsolidarischstem,unsolidarischsten
unsolide|ADJX	-0.0048
unsozial|ADJX	-0.4614	unsoziale,unsozialem,unsozialst,unsozialen,unsoziales,unsozialer,unsozialster,unsozialerem,unsozialeren,unsozialere,unsozialstes,unsozialsten,unsozialstem,unsozialerer,unsozialeres,unsozialste
unsportlich|ADJX	-0.32	unsportlichere,unsportlicher,unsportlichst,unsportlichste,unsportliches,unsportlichen,unsportliche,unsportlichem,unsportlicherem,unsportlicheren,unsportlichsten,unsportlichstem,unsportlicherer,unsportlichster,unsportlicheres,unsportlichstes
unstetig|ADJX	-0.0048	unstetigstes,unstetigere,unstetigster,unstetigst,unstetigstem,unstetigsten,unstetiges,unstetigste,unstetiger,unstetigerer,unstetigeres,unstetigen,unstetigem,unstetigeren,unstetigerem,unstetige
unsäglich|ADJX	-0.1834	unsäglichstem,unsäglichsten,unsäglichere,unsäglichem,unsäglicheres,unsäglichster,unsäglichst,unsäglichstes,unsägliche,unsäglicherer,unsäglicher,unsägliches,unsäglicherem,unsäglicheren,unsäglichen,unsäglichste
untauglich|ADJX	-0.5944	untauglichstes,untauglichster,untauglichere,untauglicherem,untauglichstem,untauglichst,untauglichsten,untaugliches,untauglichem,untauglicheres,untauglichen,untauglicherer,untauglicher,untauglicheren,untaugliche,untauglichste
unten|ADV	-0.3334
unterbelichtet|VVINF	-0.0426
unterbrechen|VVINF	-0.0048
unterdrücken|VVINF	-0.4825	unterdrücktet,unterdrückst,unterdrückte,unterdrückt,unterdrückest,unterdrücktest,unterdrücket,unterdrück,unterdrücke,untergedrückt,unterdrückten
unterentwickelt|ADJX	-0.3245	unterentwickelten,unterentwickelteren,unterentwickeltem,unterentwickeltere,unterentwickelterem,unterentwickelter,unterentwickeltes,unterentwickeltst,unterentwickelterer,unterentwickelteres,unterentwickeltste,unterentwickeltstem,unterentwickeltsten,unterentwickelte,unterentwickeltster,unterentwickeltstes
untergehen|VVINF	-0.0048
untergraben|VVINF	-0.0048
unterirdisch|ADJX	-0.4715	unterirdischen,unterirdischem,unterirdischstes,unterirdischste,unterirdischster,unterirdischer,unterirdische,unterirdischst,unterirdischerem,unterirdischsten,unterirdisches,unterirdischeren,unterirdischere,unterirdischeres,unterirdischerer,unterirdischstem
unterlassen|VVINF	-0.3488
unterlaufen|VVINF	-0.3438
unterliegen|VVINF	-0.0048
unterstellen|VVINF	-0.4961	untergestellt,unterstellte,unterstellten,unterstellst,unterstellest,unterstelltet,unterstell,unterstelltest,unterstellt,unterstelle,unterstellet
unterwerfen|VVINF	-0.3393
unterwürfig|ADJX	-0.0533	unterwürfigste,unterwürfigst,unterwürfigstes,unterwürfigerer,unterwürfigster,unterwürfigem,unterwürfigeres,unterwürfigstem,unterwürfigsten,unterwürfiger,unterwürfiges,unterwürfigen,unterwürfigeren,unterwürfigerem,unterwürfige,unterwürfigere
untragbar|ADJX	-0.3247	untragbarer,untragbares,untragbareren,untragbarstem,untragbare,untragbarerem,untragbareres,untragbarst,untragbarerer,untragbarste,untragbarsten,untragbaren,untragbarem,untragbarere,untragbarstes,untragbarster
untreu|ADJX	-0.3222	untreueres,untreuestem,untreue,untreustem,untreusten,untreuerer,untreustes,untreuster,untreueste,untreuer,untreues,untreuestes,untreuester,untreuen,untreuesten,untreuem,untreuste,untreuere,untreust,untreueren,untreuerem,untreuest
untröstlich|ADJX	-0.3139	untröstlichstes,untröstlichster,untröstlicher,untröstlichen,untröstlichem,untröstlichere,untröstlicheres,untröstlicherer,untröstlicheren,untröstlichst,untröstliche,untröstlicherem,untröstlichste,untröstlichstem,untröstlichsten,untröstliches
unverantwortlich|ADJX	-0.4889	unverantwortlichste,unverantwortlichen,unverantwortlichem,unverantwortliches,unverantwortlicher,unverantwortlichere,unverantwortlicheres,unverantwortlicherer,unverantwortlicherem,unverantwortlichstes,unverantwortlicheren,unverantwortlichsten,unverantwortlichst,unverantwortlichstem,unverantwortliche,unverantwortlichster
unverantwortliche|ADJX	-0.3242
unverbesserlich|ADJX	-0.4363	unverbesserlicherem,unverbesserlicheren,unverbesserlichsten,unverbesserlicher,unverbesserlicherer,unverbesserlicheres,unverbesserliches,unverbesserlichstem,unverbesserlichster,unverbesserlichen,unverbesserlichst,unverbesserlichstes,unverbesserlichem,unverbesserlichere,unverbesserliche,unverbesserlichste
unvereinbar|ADJX	-0.0048	unvereinbareres,unvereinbarem,unvereinbarerer,unvereinbarstem,unvereinbarsten,unvereinbaren,unvereinbarst,unvereinbareren,unvereinbarerem,unvereinbarste,unvereinbare,unvereinbarer,unvereinbares,unvereinbarstes,unvereinbarster,unvereinbarere
unverhältnismäßig|ADJX	-0.0048	unverhältnismäßigste,unverhältnismäßigerer,unverhältnismäßigeres,unverhältnismäßigerem,unverhältnismäßigem,unverhältnismäßigeren,unverhältnismäßigen,unverhältnismäßiges,unverhältnismäßiger,unverhältnismäßige,unverhältnismäßigster,unverhältnismäßigstes,unverhältnismäßigst,unverhältnismäßigstem,unverhältnismäßigsten,unverhältnismäßigere
unverlangt|ADJX	-0.0048	unverlangter,unverlangtes,unverlangtstes,unverlangtster,unverlangte,unverlangtsten,unverlangtere,unverlangteres,unverlangtstem,unverlangterer,unverlangtem,unverlangterem,unverlangten,unverlangteren,unverlangtst,unverlangtste
unvermeidlich|ADJX	-0.0048	unvermeidlichstes,unvermeidlichster,unvermeidlichsten,unvermeidliche,unvermeidlichstem,unvermeidlichere,unvermeidlicher,unvermeidliches,unvermeidlichen,unvermeidlicheres,unvermeidlicherer,unvermeidlicherem,unvermeidlichem,unvermeidlicheren,unvermeidlichste,unvermeidlichst
unvernünftig|ADJX	-0.3252
unverständlich|ADJX	-0.6347	unverständlichen,unverständlichstem,unverständlichsten,unverständlichem,unverständliche,unverständlicher,unverständlichster,unverständliches,unverständlichste,unverständlichst,unverständlicherer,unverständlicheres,unverständlichstes,unverständlichere,unverständlicheren,unverständlicherem
unvollkommen|ADJX	-0.4772	unvollkommenster,unvollkommenstes,unvollkommenen,unvollkommenstem,unvollkommensten,unvollkommener,unvollkommenerem,unvollkommeneren,unvollkommenes,unvollkommeneres,unvollkommnere,unvollkommenerer,unvollkommneres,unvollkommnerer,unvollkommenem,unvollkommneren,unvollkommenst,unvollkommnerem,unvollkommner,unvollkommene,unvollkommenste,unvollkommenere
unvollständig|ADJX	-0.4926	unvollständigster,unvollständiger,unvollständiges,unvollständigstes,unvollständigerer,unvollständigeren,unvollständigerem,unvollständigste,unvollständigere,unvollständigeres,unvollständige,unvollständigsten,unvollständigem,unvollständigstem,unvollständigst,unvollständigen
unvorhergesehen|ADJX	-0.3141	unvorhergesehenes,unvorhergesehener,unvorhergesehenere,unvorhergesehensten,unvorhergesehenste,unvorhergesehenstem,unvorhergesehenstes,unvorhergeseheneres,unvorhergesehenster,unvorhergesehenerer,unvorhergeseheneren,unvorhergesehenen,unvorhergesehenerem,unvorhergesehenem,unvorhergesehenst,unvorhergesehene
unwahr|ADJX	-0.3424	unwahrerem,unwahrstem,unwahrsten,unwahreren,unwahrerer,unwahrstes,unwahreres,unwahrst,unwahrster,unwahre,unwahrem,unwahren,unwahrere,unwahrste,unwahrer,unwahres
unwichtig|ADJX	-0.3433	unwichtigstem,unwichtigsten,unwichtigere,unwichtiges,unwichtigen,unwichtigem,unwichtigeren,unwichtiger,unwichtigerer,unwichtigeres,unwichtigster,unwichtigst,unwichtigstes,unwichtigste,unwichtige,unwichtigerem
unwillig|ADJX	-0.4665	unwilligstem,unwilligsten,unwilligere,unwilligerem,unwilligster,unwilligeren,unwilligstes,unwilligste,unwillige,unwilligst,unwilligen,unwilligerer,unwilligem,unwilliger,unwilliges,unwilligeres
unwirksam|ADJX	-0.0048	unwirksamere,unwirksamst,unwirksame,unwirksamstem,unwirksamsten,unwirksamstes,unwirksamerem,unwirksameren,unwirksamster,unwirksamerer,unwirksameres,unwirksamen,unwirksamem,unwirksamste,unwirksames,unwirksamer
unwirtlich|ADJX	-0.0048	unwirtlichere,unwirtlicherer,unwirtlicheres,unwirtlichster,unwirtlicheren,unwirtlicherem,unwirtlichst,unwirtlichstes,unwirtlichsten,unwirtlichstem,unwirtlichen,unwirtliches,unwirtliche,unwirtlicher,unwirtlichste,unwirtlichem
unwirtschaftlich|ADJX	-0.0048	unwirtschaftlichst,unwirtschaftlichstem,unwirtschaftliche,unwirtschaftlichem,unwirtschaftlichen,unwirtschaftlicherem,unwirtschaftlicheren,unwirtschaftlichste,unwirtschaftliches,unwirtschaftlicher,unwirtschaftlichere,unwirtschaftlichstes,unwirtschaftlichster,unwirtschaftlichsten,unwirtschaftlicheres,unwirtschaftlicherer
unwissend|ADJX	-0.326	unwissende,unwissendst,unwissendste,unwissendem,unwissenderen,unwissenden,unwissenderem,unwissender,unwissendes,unwissendsten,unwissendstem,unwissendster,unwissenderer,unwissendstes,unwissendere,unwissenderes
unwürdig|ADJX	-0.7312	unwürdige,unwürdigere,unwürdigstem,unwürdigst,unwürdigster,unwürdigstes,unwürdigsten,unwürdigeren,unwürdigen,unwürdigem,unwürdigerem,unwürdiger,unwürdigerer,unwürdigeres,unwürdigste,unwürdiges
unzivilisiert|ADJX	-0.4413	unzivilisiertem,unzivilisierten,unzivilisierterer,unzivilisiertesten,unzivilisierteres,unzivilisierter,unzivilisiertes,unzivilisiertestem,unzivilisiertester,unzivilisiertestes,unzivilisiertere,unzivilisierte,unzivilisierteste,unzivilisiertest,unzivilisierteren,unzivilisierterem
unzufrieden|ADJX	-0.3363	unzufriedeneres,unzufriednerer,unzufriedenstes,unzufriedneres,unzufriedenerer,unzufriednere,unzufriedenen,unzufriedenerem,unzufriedeneren,unzufriedenem,unzufriedener,unzufriedenes,unzufriedene,unzufriedner,unzufriedenster,unzufriedenst,unzufriedneren,unzufriednerem,unzufriedensten,unzufriedenere,unzufriedenste,unzufriedenstem
unzulässig|ADJX	-0.3554	unzulässige,unzulässigeren,unzulässigere,unzulässigeres,unzulässigerer,unzulässigster,unzulässigstes,unzulässigerem,unzulässiges,unzulässigsten,unzulässigst,unzulässiger,unzulässigste,unzulässigen,unzulässigem,unzulässigstem
unzumutbar|ADJX	-0.34	unzumutbarerem,unzumutbarem,unzumutbareren,unzumutbaren,unzumutbarere,unzumutbareres,unzumutbarerer,unzumutbarer,unzumutbares,unzumutbarsten,unzumutbare,unzumutbarste,unzumutbarstem,unzumutbarst,unzumutbarstes,unzumutbarster
unzurechnungsfähig|ADJX	-0.0048	unzurechnungsfähigerem,unzurechnungsfähigeren,unzurechnungsfähigsten,unzurechnungsfähigeres,unzurechnungsfähigstem,unzurechnungsfähigst,unzurechnungsfähigster,unzurechnungsfähigere,unzurechnungsfähigerer,unzurechnungsfähigem,unzurechnungsfähigstes,unzurechnungsfähige,unzurechnungsfähigen,unzurechnungsfähiges,unzurechnungsfähiger,unzurechnungsfähigste
unzureichend|ADJX	-0.5233	unzureichendster,unzureichendstes,unzureichende,unzureichenderes,unzureichenderer,unzureichendste,unzureichender,unzureichenderen,unzureichenderem,unzureichendes,unzureichendere,unzureichenden,unzureichendem,unzureichendstem,unzureichendsten,unzureichendst
unzusammenhängend|ADJX	-0.0048	unzusammenhängendem,unzusammenhängendster,unzusammenhängenden,unzusammenhängendstes,unzusammenhängendes,unzusammenhängendstem,unzusammenhängendsten,unzusammenhängender,unzusammenhängendste,unzusammenhängendere,unzusammenhängende,unzusammenhängenderes,unzusammenhängenderer,unzusammenhängenderen,unzusammenhängendst,unzusammenhängenderem
unzuverlässig|ADJX	-0.612	unzuverlässigstes,unzuverlässiger,unzuverlässigere,unzuverlässiges,unzuverlässigster,unzuverlässigeres,unzuverlässigst,unzuverlässigeren,unzuverlässigerem,unzuverlässigerer,unzuverlässigsten,unzuverlässige,unzuverlässigstem,unzuverlässigem,unzuverlässigste,unzuverlässigen
unzüchtig|ADJX	-0.0048	unzüchtigster,unzüchtigstes,unzüchtigere,unzüchtige,unzüchtiges,unzüchtiger,unzüchtigem,unzüchtigen,unzüchtigst,unzüchtigeren,unzüchtigerer,unzüchtigeres,unzüchtigsten,unzüchtigstem,unzüchtigste,unzüchtigerem
unübersichtlich|ADJX	-0.0501	unübersichtlichen,unübersichtlichstes,unübersichtlichere,unübersichtlichste,unübersichtlichster,unübersichtlicher,unübersichtliches,unübersichtlichsten,unübersichtlichstem,unübersichtlichem,unübersichtlichst,unübersichtlicheren,unübersichtliche,unübersichtlicherem,unübersichtlicheres,unübersichtlicherer
unüblich|ADJX	-0.3328	unüblichem,unüblichster,unüblichen,unüblichst,unüblichste,unüblichsten,unüblicher,unübliches,unüblichstem,unüblicheren,unüblicherem,unüblicherer,unüblichere,unüblichstes,unübliche,unüblicheres
vage|ADJX	-0.3406
verabscheuungswürdig|ADJX	-0.0048	verabscheuungswürdigen,verabscheuungswürdigste,verabscheuungswürdigem,verabscheuungswürdigstem,verabscheuungswürdigster,verabscheuungswürdigstes,verabscheuungswürdiges,verabscheuungswürdigsten,verabscheuungswürdiger,verabscheuungswürdigerem,verabscheuungswürdigeren,verabscheuungswürdigere,verabscheuungswürdigerer,verabscheuungswürdigeres,verabscheuungswürdigst,verabscheuungswürdige
verachten|VVINF	-0.0048	verachte,verachtte,verachttet,veracht,verachttest,verachtet,verachtest,verachtetet,verachtetest,verachtete,verachtten,verachteten
veraltet|ADJX	-0.507
verarschen|VVINF	-0.0048
verbannen|VVINF	-0.0048	verbannten,verbann,verbannst,verbannte,verbanntet,verbannet,verbannest,verbanne,verbannt,verbanntest
verbeulen|VVINF	-0.0327	verbeulest,verbeultet,verbeultest,verbeulst,verbeult,verbeulten,verbeulte,verbeule,verbeul,verbeulet
verbieten|VVINF	-0.629
verbittert|ADJX	-0.4659
verblassen|VVINF	-0.0048	verblassten,verblasstet,verblasset,verblasste,verblasse,verblassest,verblasstest,verblass,verblasst
verboten|ADJX	-0.3657	verbotenen,verbotenem,verbotner,verbotenerer,verbotnerem,verbotenerem,verbotene,verbotenere,verboteneren,verboteneres,verbotenes,verbotener,verbotenster,verbotenste,verbotnere,verbotenstes,verbotneres,verbotenst,verbotnerer,verbotensten,verbotneren,verbotenstem
verdammen|VVINF	-0.6079	verdamm,verdammten,verdammte,verdammtet,verdammtest,verdammst,verdamme,verdammt,verdammet,verdammest
verdammt|ADJX	-0.2925	verdammteste,verdammterem,verdammteren,verdammtere,verdammterer,verdammteres,verdammtesten,verdammter,verdammtestem,verdammte,verdammtes,verdammtester,verdammtestes,verdammten,verdammtem,verdammtest
verdecken|VVINF	-0.0516	verdeckten,verdecke,verdeckt,verdecktet,verdeckst,verdeckte,verdecktest,verdeck,verdeckest,verdecket
verderben|VVINF	-0.0048
verderblich|ADJX	-0.3131	verderblichstes,verderblichster,verderblichen,verderblichsten,verderblichem,verderblichere,verderblichstem,verderbliche,verderblicherer,verderblicheres,verderblichst,verderblicherem,verderblicheren,verderblichste,verderblicher,verderbliches
verdorben|ADJX	-0.1755	verdorbenstes,verdorbenerer,verdorbenste,verdorbenster,verdorbeneres,verdorbneren,verdorbene,verdorbnerem,verdorbenstem,verdorbensten,verdorbneres,verdorbenes,verdorbnerer,verdorbener,verdorbenst,verdorbenen,verdorbnere,verdorbenem,verdorbner,verdorbenerem,verdorbenere,verdorbeneren
verdrießlich|ADJX	-0.0048	verdrießlichster,verdrießliches,verdrießlichstes,verdrießlicher,verdrießlicheres,verdrießlicherer,verdrießlichstem,verdrießlicheren,verdrießlicherem,verdrießlichsten,verdrießlichem,verdrießliche,verdrießlichen,verdrießlichst,verdrießlichste,verdrießlichere
verdrängen|VVINF	-0.3468	verdrängst,verdrängest,verdrängte,verdränge,verdrängt,verdrängten,verdräng,verdrängtest,verdränget,verdrängtet
verdunkeln|VVINF	-0.0048	verdunkle,verdunkl,verdunkelte,verdunkelen,verdunkeltest,verdunkelten,verdunkele,verdunkelt,verdunkeltet,verdunkelst,verdunkel
vereiteln|VVINF	-0.0048	vereitle,vereitele,vereiteltest,vereitelt,vereiteltet,vereitl,vereitelst,vereitelen,vereitel,vereitelten,vereitelte
verfallen|ADJX	-0.4849	verfallner,verfallenem,verfallenst,verfalleneres,verfallenere,verfallenerer,verfallene,verfallenerem,verfallnere,verfalleneren,verfallenstem,verfallensten,verfallenste,verfallnerer,verfallenstes,verfallneres,verfallenster,verfallneren,verfallenen,verfallnerem,verfallener,verfallenes
verfassungswidrig|ADJX	-0.0048
verfehlen|VVINF	-0.0373	verfehlten,verfehlte,verfehl,verfehlst,verfehlt,verfehlet,verfehle,verfehlest,verfehltet,verfehltest
verfluchen|VVINF	-0.3284	verfluch,verfluchet,verfluchten,verfluchst,verfluchtest,verfluchte,verfluche,verflucht,verfluchtet,verfluchest
verfälschen|VVINF	-0.3323	verfälschten,verfälschtet,verfälschest,verfälschte,verfälschst,verfälsche,verfälsch,verfälschtest,verfälschet,verfälscht
