Abmachung|NN	0.0040	Abmachungen
sonnig|ADJX	0.2244	sonnigstes,sonnigster,sonnigerem,sonnigst,sonnigere,sonnigstem,sonnige,sonnigsten,sonnigste,sonniges,sonniger,sonnigeren,sonnigen,sonnigeres,sonnigem,sonnigerer
sorgen|VVINF	0.2234	sorgte,sorgst,sorgten,sorgt,gesorgt,sorgtet,sorgtest,sorg,sorget,sorgest,sorge
sorgenfrei|ADJX	0.0040	sorgenfreistem,sorgenfreie,sorgenfreier,sorgenfreiem,sorgenfreien,sorgenfreisten,sorgenfreistes,sorgenfreister,sorgenfreieren,sorgenfreiste,sorgenfreieres,sorgenfreies,sorgenfreierer,sorgenfreist,sorgenfreiere,sorgenfreierem
sorgfältig|ADJX	0.2119	sorgfältige,sorgfältiges,sorgfältiger,sorgfältigeren,sorgfältigerem,sorgfältigerer,sorgfältigste,sorgfältigeres,sorgfältigst,sorgfältigen,sorgfältigere,sorgfältigstes,sorgfältigem,sorgfältigster,sorgfältigsten,sorgfältigstem
sorglos|ADJX	0.0040	sorglose,sorglosem,sorglosere,sorglosest,sorglosestem,sorgloseste,sorglosen,sorgloses,sorgloser,sorgloseres,sorgloserer,sorglosesten,sorglosestes,sorglosester,sorgloserem,sorgloseren
sorgsam|ADJX	0.0040	sorgsamsten,sorgsame,sorgsamster,sorgsamem,sorgsamstes,sorgsamen,sorgsamer,sorgsames,sorgsamstem,sorgsamere,sorgsameres,sorgsamerer,sorgsamste,sorgsamerem,sorgsamst,sorgsameren
souverän|ADJX	0.0711
spannend|ADJX	0.7165	spannendste,spannender,spannendes,spannenderen,spannenderem,spannendst,spannenden,spannende,spannenderer,spannendem,spannenderes,spannendsten,spannendstem,spannendere,spannendstes,spannendster
sparen|VVINF	0.0040	sparet,sparst,sparten,sparte,spart,sparest,spare,spartet,gespart,spar,spartest
sparsam|ADJX	0.0907	sparsamem,sparsamen,sparsameren,sparsamstes,sparsamerem,sparsamer,sparsames,sparsameres,sparsame,sparsamerer,sparsamste,sparsamst,sparsamere,sparsamstem,sparsamsten,sparsamster
spaßig|ADJX	0.0969	spaßiges,spaßiger,spaßigen,spaßigste,spaßigem,spaßigeren,spaßigerem,spaßigeres,spaßige,spaßigere,spaßigst,spaßigstes,spaßigerer,spaßigster,spaßigsten,spaßigstem
spektakel|VVINF	0.0040
spektakulär|ADJX	0.0925	spektakulärstem,spektakulärsten,spektakulärster,spektakulärstes,spektakuläres,spektakulärste,spektakulärer,spektakulärem,spektakulären,spektakulärerem,spektakuläreren,spektakuläre,spektakulärere,spektakulärst,spektakuläreres,spektakulärerer
spenden|VVINF	0.0040	spendet,spendetet,spendete,spendeten,spend,spendten,gespendet,spendte,spende,spendtet,spendetest,spendtest,spendest
speziell|ADJX	0.0040	speziellst,speziellste,spezielleren,speziellerem,spezielle,speziellerer,spezielleres,spezielles,spezieller,speziellstem,speziellsten,speziellem,speziellen,speziellere,speziellster,speziellstes
spielend|ADJX	0.0040
spielerisch|ADJX	0.2	spielerischeren,spielerischstem,spielerischsten,spielerischerem,spielerischster,spielerischstes,spielerischerer,spielerischeres,spielerischen,spielerischste,spielerisches,spielerischer,spielerischst,spielerischere,spielerische,spielerischem
spitze|ADJX	0.2112
spürbar|ADJX	0.0040	spürbarstes,spürbarster,spürbarerer,spürbarstem,spürbareres,spürbarsten,spürbareren,spürbarste,spürbarere,spürbarerem,spürbarem,spürbaren,spürbare,spürbares,spürbarer,spürbarst
stabil|ADJX	0.1016	stabilerer,stabilerem,stabileren,stabiles,stabiler,stabilstem,stabilsten,stabilen,stabilere,stabileres,stabilst,stabilste,stabilster,stabilem,stabilstes,stabile
stabilisieren|VVINF	0.0040	stabilisiertet,stabilisiertest,stabilisiere,stabilisiert,stabilisierten,stabilisieret,stabilisierte,stabilisier,stabilisierst,stabilisierest
standhaft|ADJX	0.0040	standhaftest,standhafterer,standhafteren,standhafterem,standhafte,standhafteres,standhaftester,standhaftestes,standhaftere,standhaftesten,standhafteste,standhafter,standhaftes,standhaftestem,standhaftem,standhaften
stark|ADJX	0.0040	starkes,starker,starken,stärkste,starkem,starke,stärker,stärksten,stärkere,stärkerem,stärkstem,stärkeren,stärkst,stärkerer,stärkeres,stärkstes,stärkster
stattlich|ADJX	0.0876	stattlichsten,stattliches,stattlichstem,stattlichst,stattlichere,stattliche,stattlichste,stattlicherem,stattlichem,stattlicheres,stattlichen,stattlicherer,stattlicher,stattlicheren,stattlichster,stattlichstes
staunen|VVINF	0.0040	staun,staune,staunten,staunt,stauntest,stauntet,staunest,staunet,staunte,staunst,gestaunt
steigen|VVINF	0.0040
steigend|ADJX	0.0040
steigern|VVINF	0.0040	steigertet,steigerte,steigerst,steigeren,steigert,steigere,steiger,gesteigert,steigerten,steigertest
stiften|VVINF	0.0040	stiftetet,stiftete,stifttest,stift,stifttet,stiftet,stiftten,stiftetest,stiftest,stiftte,gestiftet,stifte,stifteten
stilsicher|ADJX	0.0040	stilsichereren,stilsichererem,stilsichereres,stilsichererer,stilsichere,stilsicherste,stilsichrer,stilsichrerem,stilsichersten,stilsicherer,stilsichreren,stilsicheres,stilsicherstem,stilsichrerer,stilsichreres,stilsicherere,stilsichrere,stilsicherster,stilsicheren,stilsicherstes,stilsicherem,stilsicherst
stilvoll|ADJX	0.3197	stilvollstes,stilvolle,stilvollster,stilvollst,stilvollstem,stilvollsten,stilvollerer,stilvollere,stilvolleren,stilvollen,stilvollerem,stilvollem,stilvolles,stilvoller,stilvollste,stilvolleres
stimulieren|VVINF	0.0040	stimulierten,stimulier,stimuliertest,stimulieret,stimuliertet,stimulierte,stimuliere,stimuliert,stimulierst,stimulierest
stolz|ADJX	0.5161	stolzere,stolzester,stolzest,stolzen,stolzeres,stolzem,stolzerer,stolzesten,stolzerem,stolzestem,stolzeren,stolze,stolzes,stolzer,stolzeste,stolzestes
strahlen|VVINF	0.2092	strahlet,strahlest,strahl,strahlten,gestrahlt,strahlst,strahlte,strahlt,strahltet,strahle,strahltest
strahlend|ADJX	0.218
stärken|VVINF	0.0040	stärkest,stärkst,stärk,stärkten,gestärkt,stärkte,stärktest,stärkt,stärket,stärke,stärktet
störungsfrei|ADJX	0.0040	störungsfreistem,störungsfreiesten,störungsfreiestem,störungsfreie,störungsfreies,störungsfreisten,störungsfreiere,störungsfreieste,störungsfreierem,störungsfreiest,störungsfreistes,störungsfreist,störungsfreiem,störungsfreister,störungsfreien,störungsfreieren,störungsfreiste,störungsfreiester,störungsfreier,störungsfreiestes,störungsfreierer,störungsfreieres
stützen|VVINF	0.0040
subventionieren|VVINF	0.0040	subventionierest,subventioniere,subventioniert,subventionierten,subventioniertet,subventionieret,subventioniertest,subventionier,subventionierst,subventionierte
super|ADJX	0.5012	supererem,superes,superer,supereren,supere,supererer,supereres,superste,superem,superen,superstes,superster,superst,superstem,supersten,superere
superschnell|ADJX	0.0040	superschnellste,superschneller,superschnelles,superschnellsten,superschnelleren,superschnellerem,superschnellstem,superschnelleres,superschnellerer,superschnelle,superschnellst,superschnellere,superschnellster,superschnellen,superschnellstes,superschnellem
sympathisch|ADJX	0.4529
sympathisieren|VVINF	0.0040	sympathisierest,sympathisiertet,sympathisier,sympathisiertest,sympathisierten,sympathisiere,sympathisiert,sympathisierst,sympathisierte,sympathisieret
systematisch|ADJX	0.0040
süchtig|ADJX	0.0845	süchtigsten,süchtigeres,süchtigstem,süchtigerer,süchtigerem,süchtigem,süchtigen,süchtigeren,süchtigste,süchtigst,süchtige,süchtigere,süchtiges,süchtiger,süchtigster,süchtigstes
süß|ADJX	0.3616	süßsten,süßes,süßstes,süßer,süßster,süßst,süßeren,süßerem,süßste,süßeres,süßerer,süßere,süße,süßstem,süßem,süßen
tadellos|ADJX	0.309	tadellosest,tadelloses,tadelloserem,tadelloseste,tadellosestes,tadellose,tadelloseren,tadellosester,tadelloserer,tadelloseres,tadellosere,tadellosesten,tadellosestem,tadellosem,tadellosen,tadelloser
tadelsfrei|ADJX	0.0040	tadelsfreierem,tadelsfreieren,tadelsfreiere,tadelsfreist,tadelsfreie,tadelsfreierer,tadelsfreier,tadelsfreistem,tadelsfreisten,tadelsfreies,tadelsfreistes,tadelsfreiem,tadelsfreister,tadelsfreien,tadelsfreiste,tadelsfreieres
talentiert|ADJX	0.3218	talentiertesten,talentierteren,talentiertestem,talentiertes,talentierterer,talentiertere,talentierteres,talentiertem,talentierten,talentierteste,talentiertester,talentierter,talentiertestes,talentiertest,talentierte,talentierterem
tatkräftig|ADJX	0.0040	tatkräftigste,tatkräftigerem,tatkräftigstes,tatkräftigster,tatkräftigen,tatkräftigst,tatkräftigem,tatkräftigeren,tatkräftiger,tatkräftigeres,tatkräftigerer,tatkräftige,tatkräftigere,tatkräftiges,tatkräftigsten,tatkräftigstem
tauglich|ADJX	0.0040	taugliche,tauglicheren,tauglicherem,tauglicherer,tauglichere,tauglichstes,tauglicheres,tauglichster,tauglichsten,tauglichst,tauglichstem,tauglicher,taugliches,tauglichem,tauglichste,tauglichen
tiefgreifend|ADJX	0.0040	tiefgreifendstes,tiefgreifendster,tiefgreifendere,tiefgreifenderen,tiefgreifenderes,tiefgreifendste,tiefgreifenderer,tiefgreifendstem,tiefgreifende,tiefgreifendsten,tiefgreifendes,tiefgreifendem,tiefgreifenden,tiefgreifendst,tiefgreifender,tiefgreifenderem
tierisch|ADJX	0.1135	tierischstes,tierischere,tierischerem,tierischst,tierischstem,tierischsten,tierischeren,tierische,tierischster,tierischen,tierischeres,tierischem,tierischer,tierischste,tierischerer,tierisches
tolerant|ADJX	0.1984	toleranteres,toleranterem,toleranteren,toleranterer,tolerantere,tolerante,tolerantestes,tolerantes,tolerantester,toleranter,tolerantem,toleranten,tolerantest,toleranteste,tolerantestem,tolerantesten
tolerieren|VVINF	0.0040	toleriertet,toleriertest,tolerierest,tolerierte,toleriere,toleriert,tolerierst,tolerier,tolerierten,tolerieret
toll|ADJX	0.5066	tollere,tollste,tollerer,tollst,tolleres,tollerem,tolles,toller,tolleren,tollstem,tollsten,tollstes,tollen,tollster,tollem,tolle
top|ADJX	0.3186	topsten,topem,topstem,topst,topen,toperes,tope,topste,topstes,toper,toperem,toperen,topes,toperer,topster,topere
toppen|VVINF	0.0040	toppe,toppten,toppt,toppet,toppte,topp,toppst,topptet,toppest,topptest,getoppt
traditionell|ADJX	0.0040
traditionsreich|ADJX	0.0040	traditionsreiche,traditionsreichstes,traditionsreichster,traditionsreichere,traditionsreicheren,traditionsreicherem,traditionsreichem,traditionsreicheres,traditionsreichen,traditionsreicherer,traditionsreicher,traditionsreiches,traditionsreichste,traditionsreichstem,traditionsreichsten,traditionsreichst
tragfähig|ADJX	0.0040	tragfähigstes,tragfähigere,tragfähigster,tragfähigeren,tragfähigen,tragfähigerem,tragfähigem,tragfähigst,tragfähigeres,tragfähigerer,tragfähiges,tragfähiger,tragfähigsten,tragfähigste,tragfähige,tragfähigstem
transparent|ADJX	0.0040	transparentest,transparentesten,transparenteste,transparentestem,transparenten,transparentem,transparenter,transparentere,transparenteren,transparentestes,transparenterer,transparentester,transparente,transparenteres,transparenterem,transparentes
traumhaft|ADJX	0.5665	traumhafter,traumhafte,traumhaftester,traumhaftestes,traumhaften,traumhaftest,traumhaftem,traumhafterem,traumhaftere,traumhaftesten,traumhafteste,traumhaftestem,traumhafteres,traumhafterer,traumhaftes,traumhafteren
treffend|ADJX	0.1023
trefflich|ADJX	0.0040	trefflichsten,trefflichen,trefflichstem,trefflichem,trefflicheres,trefflichster,trefflicherer,treffliches,trefflicher,trefflichst,trefflichstes,trefflichere,treffliche,trefflichste,trefflicherem,trefflicheren
treu|ADJX	0.3526	treuerem,treuest,treueren,treust,treueres,treuerer,treuere,treuestes,treue,treuem,treueste,treuen,treuester,treuste,treuestem,treustem,treuesten,treusten,treues,treuster,treustes,treuer
triumphal|ADJX	0.0040	triumphaleren,triumphalste,triumphalst,triumphalstem,triumphalerem,triumphales,triumphalere,triumphaler,triumphalem,triumphale,triumphalen,triumphaleres,triumphalsten,triumphalerer,triumphalstes,triumphalster
triumphieren|VVINF	0.0040	triumphierst,triumphiertest,triumphierte,triumphiert,triumphierten,triumphiere,triumphier,triumphieret,triumphiertet,triumphierest
trösten|VVINF	0.0040	tröste,trösttest,tröstest,tröstet,trösteten,getröstet,tröst,tröstten,tröstte,tröstetest,tröstetet,tröstete,trösttet
tätig|VVINF	0.0040
ultimativ|ADJX	0.0040	ultimativer,ultimativeren,ultimativerem,ultimatives,ultimativen,ultimativere,ultimativem,ultimativster,ultimativeres,ultimativerer,ultimativsten,ultimativst,ultimativstem,ultimativstes,ultimativste,ultimative
umfangreich|ADJX	0.0040	umfangreichstes,umfangreiche,umfangreicher,umfangreiches,umfangreichster,umfangreichen,umfangreicheres,umfangreichst,umfangreichstem,umfangreichsten,umfangreicherer,umfangreicherem,umfangreichem,umfangreicheren,umfangreichere,umfangreichste
umfassend|ADJX	0.0040
umgänglich|ADJX	0.2129	umgängliches,umgänglicher,umgänglicheres,umgänglicherer,umgänglichen,umgänglichem,umgänglicheren,umgänglicherem,umgänglichste,umgänglichst,umgänglichster,umgänglichstes,umgängliche,umgänglichstem,umgänglichsten,umgänglichere
umjubelt|VVINF	0.0040
umsichtig|ADJX	0.0846	umsichtiger,umsichtiges,umsichtigste,umsichtigen,umsichtigem,umsichtigere,umsichtigst,umsichtigerem,umsichtige,umsichtigeren,umsichtigeres,umsichtigstes,umsichtigster,umsichtigerer,umsichtigsten,umsichtigstem
umsorgen|VVINF	0.0863	umsorgst,umsorgte,umsorget,umsorgt,umsorgest,umsorge,umsorgtet,umsorgten,umsorg,umsorgtest
umwerfend|ADJX	0.1991
unabhängig|ADJX	0.0040	unabhängiges,unabhängiger,unabhängige,unabhängigsten,unabhängigeres,unabhängigere,unabhängigstem,unabhängigerer,unabhängigster,unabhängigste,unabhängigerem,unabhängigstes,unabhängigen,unabhängigeren,unabhängigem,unabhängigst
unangefochten|ADJX	0.0040	unangefochtenerem,unangefochteneren,unangefochtenere,unangefochtenerer,unangefochteneres,unangefochtenste,unangefochtenem,unangefochtenstem,unangefochtensten,unangefochtenst,unangefochtenen,unangefochtene,unangefochtenes,unangefochtener,unangefochtenster,unangefochtenstes
unantastbar|ADJX	0.0040	unantastbarere,unantastbarste,unantastbarstes,unantastbareren,unantastbarster,unantastbaren,unantastbarerem,unantastbares,unantastbarstem,unantastbarsten,unantastbare,unantastbarer,unantastbarst,unantastbarem,unantastbareres,unantastbarerer
unaufholbar|ADJX	0.0040
unbedingt|ADJX	0.0040	unbedingteres,unbedingtsten,unbedingtere,unbedingterer,unbedingteren,unbedingtstem,unbedingtstes,unbedingtster,unbedingten,unbedingtst,unbedingtem,unbedingter,unbedingte,unbedingtste,unbedingterem,unbedingtes
unbegrenzt|ADJX	0.0040	unbegrenztest,unbegrenzteste,unbegrenzterem,unbegrenzteres,unbegrenzte,unbegrenzterer,unbegrenzten,unbegrenztem,unbegrenztestem,unbegrenztesten,unbegrenzteren,unbegrenzter,unbegrenztester,unbegrenztes,unbegrenztestes,unbegrenztere
unberührt|ADJX	0.0040	unberührtere,unberührtestes,unberührtes,unberührter,unberührten,unberührte,unberührtem,unberührtest,unberührteste,unberührtestem,unberührtesten,unberührteres,unberührterer,unberührterem,unberührtester,unberührteren
unbeschreiblich|ADJX	0.1156	unbeschreibliche,unbeschreiblichstem,unbeschreiblichere,unbeschreiblichsten,unbeschreiblichstes,unbeschreiblichster,unbeschreiblicherem,unbeschreibliches,unbeschreiblicherer,unbeschreiblicheres,unbeschreiblicheren,unbeschreiblichste,unbeschreiblichst,unbeschreiblichem,unbeschreiblichen,unbeschreiblicher
unbeschwert|ADJX	0.3349	unbeschwerter,unbeschwerterem,unbeschwertester,unbeschwertere,unbeschwerteren,unbeschwertes,unbeschwertesten,unbeschwerteres,unbeschwerterer,unbeschwertestem,unbeschwerten,unbeschwertestes,unbeschwertem,unbeschwertest,unbeschwerte,unbeschwerteste
unbesiegbar|ADJX	0.0040	unbesiegbarere,unbesiegbarst,unbesiegbarster,unbesiegbarstes,unbesiegbarerer,unbesiegbarste,unbesiegbarstem,unbesiegbarsten,unbesiegbarem,unbesiegbareres,unbesiegbaren,unbesiegbareren,unbesiegbarerem,unbesiegbare,unbesiegbarer,unbesiegbares
unbestreitbar|ADJX	0.0040	unbestreitbarerer,unbestreitbare,unbestreitbareres,unbestreitbarst,unbestreitbarster,unbestreitbarstes,unbestreitbarstem,unbestreitbarsten,unbestreitbareren,unbestreitbaren,unbestreitbarerem,unbestreitbarste,unbestreitbarem,unbestreitbarere,unbestreitbares,unbestreitbarer
unbestritten|ADJX	0.0040	unbestrittneren,unbestrittenstes,unbestrittneres,unbestrittnere,unbestrittene,unbestrittenem,unbestrittnerer,unbestrittenster,unbestrittenen,unbestrittenstem,unbestrittensten,unbestrittenes,unbestrittener,unbestrittner,unbestrittenst,unbestrittenste,unbestritteneres,unbestritteneren,unbestrittenerem,unbestrittenere,unbestrittenerer,unbestrittnerem
unbezahlbar|ADJX	0.0040	unbezahlbarer,unbezahlbarerer,unbezahlbareres,unbezahlbares,unbezahlbareren,unbezahlbarerem,unbezahlbarere,unbezahlbaren,unbezahlbarem,unbezahlbare,unbezahlbarsten,unbezahlbarstem,unbezahlbarster,unbezahlbarstes,unbezahlbarst,unbezahlbarste
uneingeschränkt|ADJX	0.0040	uneingeschränktem,uneingeschränkte,uneingeschränkten,uneingeschränkteste,uneingeschränkter,uneingeschränktes,uneingeschränktere,uneingeschränktestem,uneingeschränktesten,uneingeschränktester,uneingeschränktestes,uneingeschränkterer,uneingeschränkteres,uneingeschränkteren,uneingeschränktest,uneingeschränkterem
uneinholbar|ADJX	0.0040
unerhört|ADJX	0.0040	unerhörtest,unerhörtes,unerhörter,unerhörteres,unerhörteste,unerhörterer,unerhörtere,unerhörte,unerhörteren,unerhörterem,unerhörtester,unerhörtestes,unerhörten,unerhörtestem,unerhörtesten,unerhörtem
unermesslich|ADJX	0.0040
unermeßlich|ADJX	0.0040	unermeßliches,unermeßlicher,unermeßlichstem,unermeßlichsten,unermeßlichere,unermeßliche,unermeßlichste,unermeßlichster,unermeßlicherer,unermeßlicheres,unermeßlichstes,unermeßlichem,unermeßlichen,unermeßlicherem,unermeßlicheren,unermeßlichst
unermüdlich|ADJX	0.0040	unermüdlichsten,unermüdlicherer,unermüdlichstem,unermüdlichster,unermüdlicheres,unermüdlichere,unermüdlicheren,unermüdlicherem,unermüdlichste,unermüdlichst,unermüdliches,unermüdlicher,unermüdlichstes,unermüdliche,unermüdlichen,unermüdlichem
unerreicht|ADJX	0.0040	unerreichtst,unerreichtere,unerreichtem,unerreichten,unerreichter,unerreichtes,unerreichte,unerreichterer,unerreichtstes,unerreichtster,unerreichteres,unerreichtste,unerreichtsten,unerreichtstem,unerreichteren,unerreichterem
unerschrocken|ADJX	0.0040	unerschrockenstem,unerschrocknere,unerschrockensten,unerschrockenstes,unerschrockenster,unerschrockneren,unerschrocknerem,unerschrockner,unerschrockenere,unerschrockeneres,unerschrockenerer,unerschrockenes,unerschrockener,unerschrocknerer,unerschrockneres,unerschrockenen,unerschrockenst,unerschrockenem,unerschrockenste,unerschrockene,unerschrockeneren,unerschrockenerem
unersetzlich|ADJX	0.0040	unersetzlicher,unersetzliches,unersetzlichem,unersetzlichen,unersetzliche,unersetzlichstem,unersetzlichsten,unersetzlichste,unersetzlichst,unersetzlichster,unersetzlichstes,unersetzlicheres,unersetzlicherer,unersetzlichere,unersetzlicherem,unersetzlicheren
unfehlbar|ADJX	0.0040	unfehlbares,unfehlbarstem,unfehlbarsten,unfehlbarer,unfehlbarster,unfehlbaren,unfehlbarstes,unfehlbarere,unfehlbarerer,unfehlbareres,unfehlbarste,unfehlbarerem,unfehlbareren,unfehlbarem,unfehlbare,unfehlbarst
ungeahnt|ADJX	0.0040	ungeahntere,ungeahntes,ungeahnter,ungeahnte,ungeahntstes,ungeahntster,ungeahntsten,ungeahntstem,ungeahntste,ungeahntem,ungeahntst,ungeahnten,ungeahnterer,ungeahnteres,ungeahnterem,ungeahnteren
ungebrochen|ADJX	0.0040	ungebrocheneres,ungebrochenerer,ungebrochene,ungebrochenste,ungebrochenen,ungebrochenem,ungebrochenstes,ungebrochenster,ungebrochensten,ungebrochenst,ungebrochenstem,ungebrochenes,ungebrochener,ungebrochenere,ungebrochenerem,ungebrocheneren
ungeteilt|ADJX	0.0040	ungeteiltstes,ungeteiltere,ungeteilten,ungeteiltstem,ungeteiltsten,ungeteilteren,ungeteiltem,ungeteilterem,ungeteilte,ungeteilter,ungeteiltster,ungeteiltes,ungeteilteres,ungeteiltst,ungeteilterer,ungeteiltste
ungezwungen|ADJX	0.0040	ungezwungneren,ungezwungnere,ungezwungnerem,ungezwungnerer,ungezwungene,ungezwungneres,ungezwungenen,ungezwungensten,ungezwungenstem,ungezwungenem,ungezwungenster,ungezwungenerer,ungezwungenstes,ungezwungeneres,ungezwungner,ungezwungenerem,ungezwungenes,ungezwungener,ungezwungeneren,ungezwungenste,ungezwungenst,ungezwungenere
unglaublich|ADJX	0.3698	unglaublichst,unglaublichsten,unglaubliches,unglaublichstem,unglaublicherem,unglaubliche,unglaublicheren,unglaublichste,unglaublicheres,unglaublichere,unglaublicherer,unglaublichem,unglaublichen,unglaublicher,unglaublichster,unglaublichstes
universell|ADJX	0.0040	universellste,universelle,universellen,universellem,universellstem,universellsten,universellst,universelleres,universellerer,universellere,universelleren,universellerem,universeller,universelles,universellster,universellstes
unkompliziert|ADJX	0.0782	unkompliziertestes,unkompliziertester,unkompliziertesten,unkompliziertestem,unkomplizierte,unkompliziertere,unkomplizierten,unkompliziertem,unkomplizierteres,unkomplizierterer,unkompliziertest,unkomplizierterem,unkompliziertes,unkomplizierter,unkomplizierteren,unkomplizierteste
unparteiisch|ADJX	0.0040	unparteiischst,unparteiischste,unparteiischeres,unparteiischerer,unparteiischster,unparteiischstes,unparteiischeren,unparteiischerem,unparteiischstem,unparteiischsten,unparteiischem,unparteiischere,unparteiische,unparteiischen,unparteiischer,unparteiisches
unschlagbar|ADJX	0.0040	unschlagbarerem,unschlagbarem,unschlagbarst,unschlagbaren,unschlagbareren,unschlagbares,unschlagbarste,unschlagbarer,unschlagbareres,unschlagbarerer,unschlagbarster,unschlagbarstes,unschlagbarere,unschlagbarstem,unschlagbarsten,unschlagbare
unschuldig|ADJX	0.0040	unschuldigstem,unschuldigsten,unschuldigere,unschuldigst,unschuldige,unschuldigste,unschuldigstes,unschuldigster,unschuldigen,unschuldigem,unschuldiger,unschuldigeres,unschuldigerer,unschuldiges,unschuldigeren,unschuldigerem
unschätzbar|ADJX	0.0040	unschätzbarerem,unschätzbarste,unschätzbareren,unschätzbares,unschätzbarster,unschätzbarer,unschätzbarstes,unschätzbarerer,unschätzbareres,unschätzbarstem,unschätzbarsten,unschätzbaren,unschätzbare,unschätzbarem,unschätzbarere,unschätzbarst
unsterblich|ADJX	0.0040	unsterblichste,unsterblichere,unsterblichstes,unsterblicher,unsterblicheres,unsterbliches,unsterblichster,unsterblicherem,unsterblichstem,unsterblichsten,unsterblicheren,unsterbliche,unsterblichem,unsterblicherer,unsterblichst,unsterblichen
unternehmerisch|ADJX	0.0040	unternehmerischste,unternehmerische,unternehmerischeren,unternehmerischerem,unternehmerischer,unternehmerischeres,unternehmerischstem,unternehmerischerer,unternehmerischsten,unternehmerisches,unternehmerischen,unternehmerischst,unternehmerischem,unternehmerischstes,unternehmerischster,unternehmerischere
unterstützen|VVINF	0.0040	unterstützt,unterstützten,unterstütze,unterstütztest,unterstützest,unterstütztet,unterstützet,unterstütz,untergestützt,unterstützte
untrennbar|ADJX	0.0040	untrennbarer,untrennbares,untrennbarere,untrennbarerer,untrennbarst,untrennbareren,untrennbarerem,untrennbarsten,untrennbarstem,untrennbareres,untrennbare,untrennbarster,untrennbarstes,untrennbaren,untrennbarem,untrennbarste
unumschränkt|ADJX	0.0040	unumschränktest,unumschränkte,unumschränkterem,unumschränktem,unumschränkten,unumschränkteren,unumschränktestem,unumschränktesten,unumschränkteres,unumschränkter,unumschränkterer,unumschränktes,unumschränktester,unumschränkteste,unumschränktestes,unumschränktere
unumstritten|ADJX	0.0040	unumstrittenere,unumstrittene,unumstrittenste,unumstrittneres,unumstrittnere,unumstrittenem,unumstrittenst,unumstrittenstem,unumstrittenen,unumstrittner,unumstrittener,unumstrittensten,unumstrittenerem,unumstrittenes,unumstrittenster,unumstrittenstes,unumstrittnerer,unumstritteneres,unumstrittenerer,unumstrittnerem,unumstrittneren,unumstritteneren
ununterbrochen|ADJX	0.0040	ununterbrochenerer,ununterbrocheneres,ununterbrochenere,ununterbrochenen,ununterbrochenem,ununterbrochener,ununterbrochenerem,ununterbrocheneren,ununterbrochenes,ununterbrochenst,ununterbrochenste,ununterbrochenstem,ununterbrochensten,ununterbrochene,ununterbrochenstes,ununterbrochenster
unvergleichbar|ADJX	0.0833	unvergleichbarste,unvergleichbare,unvergleichbarerem,unvergleichbareren,unvergleichbarerer,unvergleichbareres,unvergleichbarst,unvergleichbarster,unvergleichbarer,unvergleichbarere,unvergleichbares,unvergleichbarstes,unvergleichbarem,unvergleichbarsten,unvergleichbaren,unvergleichbarstem
unvergleichlich|ADJX	0.0967	unvergleichlicherem,unvergleichlichsten,unvergleichlicheres,unvergleichlicherer,unvergleichlichste,unvergleichlicher,unvergleichlichst,unvergleichlicheren,unvergleichlichen,unvergleichlichem,unvergleichlichstem,unvergleichliche,unvergleichlichster,unvergleichlichstes,unvergleichlichere,unvergleichliches
unverhofft|ADJX	0.0040	unverhofftesten,unverhofften,unverhoffterer,unverhoffteres,unverhoffterem,unverhoffteren,unverhofftem,unverhofftestem,unverhofftere,unverhoffte,unverhofftest,unverhofftestes,unverhofftes,unverhoffteste,unverhofftester,unverhoffter
unverkrampft|ADJX	0.0040	unverkrampftestes,unverkrampftester,unverkrampftere,unverkrampfterem,unverkrampfteren,unverkrampfterer,unverkrampfte,unverkrampfteres,unverkrampftest,unverkrampftes,unverkrampfter,unverkrampfteste,unverkrampftesten,unverkrampften,unverkrampftem,unverkrampftestem
unverwundbar|ADJX	0.0040	unverwundbarere,unverwundbareres,unverwundbare,unverwundbarst,unverwundbares,unverwundbarer,unverwundbarsten,unverwundbarstem,unverwundbarste,unverwundbarem,unverwundbaren,unverwundbarster,unverwundbarstes,unverwundbareren,unverwundbarerem,unverwundbarerer
unverzichtbar|ADJX	0.0040	unverzichtbare,unverzichtbaren,unverzichtbarem,unverzichtbareres,unverzichtbares,unverzichtbarst,unverzichtbarer,unverzichtbarerer,unverzichtbarerem,unverzichtbarste,unverzichtbareren,unverzichtbarere,unverzichtbarsten,unverzichtbarstem,unverzichtbarster,unverzichtbarstes
unwiderstehlich|ADJX	0.1874	unwiderstehlichen,unwiderstehlichem,unwiderstehlichster,unwiderstehlichstes,unwiderstehliche,unwiderstehlichst,unwiderstehlichste,unwiderstehlicher,unwiderstehlichstem,unwiderstehlichsten,unwiderstehliches,unwiderstehlicherem,unwiderstehlichere,unwiderstehlicheren,unwiderstehlicherer,unwiderstehlicheres
unzweifelhaft|ADJX	0.0040	unzweifelhaftesten,unzweifelhaftestem,unzweifelhaftester,unzweifelhaftestes,unzweifelhaftere,unzweifelhafterem,unzweifelhaftes,unzweifelhaftest,unzweifelhafteren,unzweifelhafteres,unzweifelhafterer,unzweifelhaftem,unzweifelhaften,unzweifelhafte,unzweifelhafter,unzweifelhafteste
